"p","n","rho","method","coverage_classic","width_classic","coverage_corrected","width_corrected","rho_default","deff","n_eff","coverage_change","width_change","width_ratio"
0.005,10000,0.1,"Agresti_Coull",0.214,0.00254029466329415,0.9719,0.0335904091079935,0.00566658357464761,57.6601691629014,173.429945579036,0.7579,0.0310501144446993,13.2230365214541
0.005,10000,0.1,"Clopper_Pearson",0.2199,0.00257924090075744,0.975,0.0296319517063397,0.00566658357464761,57.6601691629014,173.429945579036,0.7551,0.0270527108055823,11.4886328367536
0.005,10000,0.1,"Wald",0.2128,0.00246370896519696,0.9018,0.014490515799154,0.00566658357464761,57.6601691629014,173.429945579036,0.689,0.012026806833957,5.88158585443777
0.005,10000,0.1,"Wilson",0.214,0.00250420565312377,0.9475,0.0292818730128787,0.00566658357464761,57.6601691629014,173.429945579036,0.7335,0.0267776673597549,11.6930783924844
0.005,10000,0.2,"Agresti_Coull",0.1284,0.00229014312082505,0.9865,0.0798688471912225,0.016738186301721,168.365124830908,59.3947232839531,0.8581,0.0775787040703974,34.8750462208881
0.005,10000,0.2,"Clopper_Pearson",0.1309,0.00230834683559772,0.9849,0.0688615985839603,0.016738186301721,168.365124830908,59.3947232839531,0.854,0.0665532517483625,29.8315649632995
0.005,10000,0.2,"Wald",0.1265,0.00217105953673256,0.8331,0.0189397218706262,0.016738186301721,168.365124830908,59.3947232839531,0.7066,0.0167686623338936,8.7237229335177
0.005,10000,0.2,"Wilson",0.1284,0.00224440855410036,0.9632,0.068415624778528,0.016738186301721,168.365124830908,59.3947232839531,0.8348,0.0661712162244276,30.4826965008388
0.005,10000,0.25,"Agresti_Coull",0.1081,0.00214999078168655,0.9873,0.101592912581044,0.0223131328647152,224.109015514287,44.6211410864125,0.8792,0.0994429217993573,47.2527200797345
0.005,10000,0.25,"Clopper_Pearson",0.1113,0.00215706033555706,0.9855,0.087894420134985,0.0223131328647152,224.109015514287,44.6211410864125,0.8742,0.085737359799428,40.747316468682
0.005,10000,0.25,"Wald",0.1072,0.00200355835589521,0.799,0.0200325883687669,0.0223131328647152,224.109015514287,44.6211410864125,0.6918,0.0180290300128716,9.99850506466334
0.005,10000,0.25,"Wilson",0.1081,0.00209981246048141,0.9591,0.0868124904284164,0.0223131328647152,224.109015514287,44.6211410864125,0.851,0.084712677967935,41.3429732712957
0.01,10000,0.01,"Agresti_Coull",0.4981,0.00389904659624209,0.9884,0.016313020144715,0.00130916534869897,14.090344321641,709.705864649542,0.4903,0.0124139735484729,4.18384847219768
0.01,10000,0.01,"Clopper_Pearson",0.5093,0.00396831380604925,0.9936,0.016225093263436,0.00130916534869897,14.090344321641,709.705864649542,0.4843,0.0122567794573868,4.08866184894518
0.01,10000,0.01,"Wald",0.4923,0.00386247878736984,0.9829,0.0145079693847941,0.00130916534869897,14.090344321641,709.705864649542,0.4906,0.0106454905974243,3.75612920703529
0.01,10000,0.01,"Wilson",0.4981,0.00388044458666989,0.9846,0.0154273829904273,0.00130916534869897,14.090344321641,709.705864649542,0.4865,0.0115469384037574,3.97567408730006
0.01,10000,0.05,"Agresti_Coull",0.2383,0.00374163335157705,0.9656,0.0325584028821848,0.00415493867532809,42.5452318146055,235.043965527696,0.7273,0.0288167695306078,8.70165508559567
0.01,10000,0.05,"Clopper_Pearson",0.2423,0.00380674856113221,0.9741,0.0302912490953869,0.00415493867532809,42.5452318146055,235.043965527696,0.7318,0.0264845005342547,7.95724976550006
0.01,10000,0.05,"Wald",0.2322,0.00370000984029979,0.924,0.021651413036123,0.00415493867532809,42.5452318146055,235.043965527696,0.6918,0.0179514031958232,5.85171769012612
0.01,10000,0.05,"Wilson",0.2383,0.00372057276328547,0.9511,0.0290845942738538,0.00415493867532809,42.5452318146055,235.043965527696,0.7128,0.0253640215105683,7.81723571189359
0.01,10000,0.1,"Agresti_Coull",0.1612,0.00358757944792565,0.9711,0.0547430599189069,0.00901740154689176,91.1649980673707,109.691221543273,0.8099,0.0511554804709812,15.2590516010898
0.01,10000,0.1,"Clopper_Pearson",0.1654,0.00364639462602221,0.9752,0.0492384267761871,0.00901740154689176,91.1649980673707,109.691221543273,0.8098,0.0455920321501649,13.503318161123
0.01,10000,0.1,"Wald",0.1585,0.00353787982290634,0.9005,0.0266059588518027,0.00901740154689176,91.1649980673707,109.691221543273,0.742,0.0230680790288964,7.52031165093283
0.01,10000,0.1,"Wilson",0.1612,0.00356284581760544,0.952,0.0480577656541371,0.00901740154689176,91.1649980673707,109.691221543273,0.7908,0.0444949198365316,13.4885897718797
0.01,10000,0.2,"Agresti_Coull",0.1074,0.00319842459570467,0.9823,0.115641985595764,0.0243079582444157,244.055274485913,40.974324447871,0.8749,0.11244356100006,36.1559205588483
0.01,10000,0.2,"Clopper_Pearson",0.1093,0.0032405380497405,0.9837,0.102440486357397,0.0243079582444157,244.055274485913,40.974324447871,0.8744,0.0991999483076562,31.6121843919098
0.01,10000,0.2,"Wald",0.1043,0.00312165847853507,0.849,0.0341826068462545,0.0243079582444157,244.055274485913,40.974324447871,0.7447,0.0310609483677194,10.95014303496
0.01,10000,0.2,"Wilson",0.1074,0.00316480676449365,0.957,0.100017445928469,0.0243079582444157,244.055274485913,40.974324447871,0.8496,0.0968526391639751,31.6030182476152
0.01,10000,0.25,"Agresti_Coull",0.0883,0.00307849512421548,0.9809,0.150536630591744,0.0339119793120033,340.085881140721,29.4043374175307,0.8926,0.147458135467529,48.8994214762991
