"model","method","p","n","rho","B","coverage","avg_width","median_width","lower_zero_rate","mean_p_hat","sd_p_hat","mean_defaults","sd_defaults"
"vasicek","Clopper_Pearson",0.001,1e+05,0.05,10000,0.1953,0.00037455864320867,0.000354557056576248,1e-04,0.000999867,0.000852867276057686,99.9867,85.2867276057686
"vasicek","Wilson",0.001,1e+05,0.05,10000,0.1911,0.000366118233312771,0.000345965767365357,1e-04,0.000999867,0.000852867276057686,99.9867,85.2867276057686
"vasicek","Agresti_Coull",0.001,1e+05,0.05,10000,0.1911,0.000368450427489368,0.000348085164367506,2e-04,0.000999867,0.000852867276057686,99.9867,85.2867276057686
"vasicek","Wald",0.001,1e+05,0.1,10000,0.126,0.000337208737179931,0.000295863714424382,0.0211,0.001014507,0.00142147689978018,101.4507,142.147689978018
"vasicek","Clopper_Pearson",0.001,1e+05,0.1,10000,0.1308,0.000348435866129487,0.000306698759315012,0.0021,0.001014507,0.00142147689978018,101.4507,142.147689978018
"vasicek","Wilson",0.001,1e+05,0.1,10000,0.1281,0.000340476527208246,0.000298335683167341,0.0021,0.001014507,0.00142147689978018,101.4507,142.147689978018
"vasicek","Agresti_Coull",0.001,1e+05,0.1,10000,0.1281,0.000343438783902528,0.000300792832596889,0.0067,0.001014507,0.00142147689978018,101.4507,142.147689978018
"vasicek","Wald",0.001,1e+05,0.2,10000,0.0721,0.000283389075502135,0.00020739405000364,0.1533,0.000985159,0.0022210887281315,98.5159,222.10887281315
"vasicek","Clopper_Pearson",0.001,1e+05,0.2,10000,0.0745,0.000296990702465327,0.0002185869552102,0.0488,0.000985159,0.0022210887281315,98.5159,222.10887281315
"vasicek","Wilson",0.001,1e+05,0.2,10000,0.0727,0.000290344700366047,0.000210913619253639,0.0488,0.000985159,0.0022210887281315,98.5159,222.10887281315
"vasicek","Agresti_Coull",0.001,1e+05,0.2,10000,0.0727,0.000294530181973842,0.00021437913428031,0.0893,0.000985159,0.0022210887281315,98.5159,222.10887281315
"vasicek","Wald",0.001,1e+05,0.25,10000,0.0555,0.000254433139569486,0.000161609032093888,0.2477,0.000990825,0.00322659905527807,99.0825,322.659905527807
"vasicek","Clopper_Pearson",0.001,1e+05,0.25,10000,0.0587,0.000269927653609828,0.000173138277396442,0.1009,0.000990825,0.00322659905527807,99.0825,322.659905527807
"vasicek","Wilson",0.001,1e+05,0.25,10000,0.0571,0.000264115251419786,0.000166105508649884,0.1009,0.000990825,0.00322659905527807,99.0825,322.659905527807
