"method","p","n","rho","width_vasicek","width_ind","width_diff"
"Clopper_Pearson",0.005,1e+05,0.2,0.000703463595078624,0.000884406162551805,-0.000180942567473181
"Wald",0.005,1e+05,0.2,0.000692655396841675,0.000874137416939457,-0.000181482020097782
"Wilson",0.005,1e+05,0.2,0.000694752581838435,0.000874947894104523,-0.000180195312266088
"Agresti_Coull",0.005,1e+05,0.25,0.000636822074456402,0.000875774345813514,-0.000238952271357112
"Clopper_Pearson",0.005,1e+05,0.25,0.00064275323417064,0.000884406162551805,-0.000241652928381165
"Wald",0.005,1e+05,0.25,0.000631368084547793,0.000874137416939457,-0.000242769332391664
"Wilson",0.005,1e+05,0.25,0.000634469756297284,0.000874947894104523,-0.000240478137807239
"Agresti_Coull",0.01,5000,0.01,0.00555075633235351,0.00560162216464327,-5.08658322897603e-05
"Clopper_Pearson",0.01,5000,0.01,0.00566396070271175,0.00571726792195699,-5.33072192452399e-05
"Wald",0.01,5000,0.01,0.00544742248028934,0.00550126211714348,-5.38396368541397e-05
"Wilson",0.01,5000,0.01,0.00549834347453055,0.00555064730779754,-5.23038332669893e-05
"Agresti_Coull",0.01,5000,0.05,0.00536264668055671,0.00560162216464327,-0.00023897548408656
"Clopper_Pearson",0.01,5000,0.05,0.00546473367201321,0.00571726792195699,-0.00025253424994378
"Wald",0.01,5000,0.05,0.00524548813622976,0.00550126211714348,-0.00025577398091372
"Wilson",0.01,5000,0.05,0.00530375325595044,0.00555064730779754,-0.0002468940518471
"Agresti_Coull",0.01,5000,0.1,0.00515981802023873,0.00560162216464327,-0.00044180414440454
"Clopper_Pearson",0.01,5000,0.1,0.00524691760736021,0.00571726792195699,-0.00047035031459678
"Wald",0.01,5000,0.1,0.00502147837521679,0.00550126211714348,-0.000479783741926689
"Wilson",0.01,5000,0.1,0.00509252121481366,0.00555064730779754,-0.00045812609298388
"Agresti_Coull",0.01,5000,0.2,0.00464695375719209,0.00560162216464327,-0.00095466840745118
"Clopper_Pearson",0.01,5000,0.2,0.00469404390448781,0.00571726792195699,-0.00102322401746918
"Wald",0.01,5000,0.2,0.00443142292641402,0.00550126211714348,-0.00106983919072946
"Wilson",0.01,5000,0.2,0.00456018279276981,0.00555064730779754,-0.00099046451502773
"Agresti_Coull",0.01,5000,0.25,0.00437309713172369,0.00560162216464327,-0.00122852503291958
"Clopper_Pearson",0.01,5000,0.25,0.00439898025117987,0.00571726792195699,-0.00131828767077712
"Wald",0.01,5000,0.25,0.0041087141363522,0.00550126211714348,-0.00139254798079128
"Wilson",0.01,5000,0.25,0.00427743138052089,0.00555064730779754,-0.00127321592727665
"Agresti_Coull",0.01,10000,0.01,0.00389904659624209,0.00392772848977559,-2.86818935334998e-05
"Clopper_Pearson",0.01,10000,0.01,0.00396831380604925,0.00399782401751654,-2.95102114672898e-05
"Wald",0.01,10000,0.01,0.00386247878736984,0.00389216467012385,-2.96858827540103e-05
"Wilson",0.01,10000,0.01,0.00388044458666989,0.00390961897868819,-2.91743920182996e-05
"Agresti_Coull",0.01,10000,0.05,0.00374163335157705,0.00392772848977559,-0.00018609513819854
