"model","method","p","n","rho","avg_width","median_width"
"vasicek","Wald",0.001,1e+05,0.01,0.00038549433842746,0.000381885792512565
"vasicek","Wilson",0.001,1e+05,0.01,0.000387449813453582,0.000383798282785126
"vasicek","Agresti_Coull",0.001,1e+05,0.05,0.000368450427489368,0.000348085164367506
"vasicek","Clopper_Pearson",0.001,1e+05,0.05,0.00037455864320867,0.000354557056576248
"vasicek","Wald",0.001,1e+05,0.05,0.00036375615139083,0.000343839828466668
"vasicek","Wilson",0.001,1e+05,0.05,0.000366118233312771,0.000345965767365357
"vasicek","Agresti_Coull",0.001,1e+05,0.1,0.000343438783902528,0.000300792832596889
"vasicek","Clopper_Pearson",0.001,1e+05,0.1,0.000348435866129487,0.000306698759315012
"vasicek","Wald",0.001,1e+05,0.1,0.000337208737179931,0.000295863714424382
"vasicek","Wilson",0.001,1e+05,0.1,0.000340476527208246,0.000298335683167341
"vasicek","Agresti_Coull",0.001,1e+05,0.2,0.000294530181973842,0.00021437913428031
"vasicek","Clopper_Pearson",0.001,1e+05,0.2,0.000296990702465327,0.0002185869552102
"vasicek","Wald",0.001,1e+05,0.2,0.000283389075502135,0.00020739405000364
"vasicek","Wilson",0.001,1e+05,0.2,0.000290344700366047,0.000210913619253639
"vasicek","Agresti_Coull",0.001,1e+05,0.25,0.000268902997188753,0.000170486208722078
"vasicek","Clopper_Pearson",0.001,1e+05,0.25,0.000269927653609828,0.000173138277396442
"vasicek","Wald",0.001,1e+05,0.25,0.000254433139569486,0.000161609032093888
"vasicek","Wilson",0.001,1e+05,0.25,0.000264115251419786,0.000166105508649884
"vasicek","Agresti_Coull",0.005,5000,0.01,0.00399297163468664,0.00397805123666818
"vasicek","Clopper_Pearson",0.005,5000,0.01,0.00406746788099138,0.00405585415372622
"vasicek","Wald",0.005,5000,0.01,0.00384233113249679,0.00383150050273811
"vasicek","Wilson",0.005,5000,0.01,0.0039177952335235,0.00390477024852591
"vasicek","Agresti_Coull",0.005,5000,0.05,0.00382819295979767,0.00365972693244791
"vasicek","Clopper_Pearson",0.005,5000,0.05,0.00388475351707937,0.00372598384402137
"vasicek","Wald",0.005,5000,0.05,0.00365218094273835,0.00349907095574187
"vasicek","Wilson",0.005,5000,0.05,0.0037429628827116,0.00357967489192712
"vasicek","Agresti_Coull",0.005,5000,0.1,0.00367125530917484,0.00340111127199123
"vasicek","Clopper_Pearson",0.005,5000,0.1,0.00370605407811067,0.00345633155308297
"vasicek","Wald",0.005,5000,0.1,0.00345314613815052,0.00322695555920968
"vasicek","Wilson",0.005,5000,0.1,0.00357534382671946,0.00331460798017185
"vasicek","Agresti_Coull",0.005,5000,0.2,0.00333393393038199,0.00270151902386561
"vasicek","Clopper_Pearson",0.005,5000,0.2,0.00332854501569241,0.00271550416311187
"vasicek","Wald",0.005,5000,0.2,0.00301431837221095,0.00247669970825782
"vasicek","Wilson",0.005,5000,0.2,0.00322241811786723,0.00259113741538913
"vasicek","Agresti_Coull",0.005,5000,0.25,0.00315479468229134,0.00233769182603383
"vasicek","Clopper_Pearson",0.005,5000,0.25,0.00312988182916626,0.00231934232851376
"vasicek","Wald",0.005,5000,0.25,0.0027795451976105,0.00207277844251299
"vasicek","Wilson",0.005,5000,0.25,0.00303680833495188,0.00220888717570605
"vasicek","Agresti_Coull",0.005,10000,0.01,0.0027865295616027,0.00276162964580186
"vasicek","Clopper_Pearson",0.005,10000,0.01,0.00284208681964066,0.00281792476791382
"vasicek","Wald",0.005,10000,0.01,0.00273328281492345,0.00270927998760578
"vasicek","Wilson",0.005,10000,0.01,0.00275979504783286,0.00273532751861387
"vasicek","Agresti_Coull",0.005,10000,0.05,0.00267097042823852,0.0025615991767626
"vasicek","Clopper_Pearson",0.005,10000,0.05,0.00271981354530836,0.00261425564175374
"vasicek","Wald",0.005,10000,0.05,0.00260928602044252,0.00250482783776211
"vasicek","Wilson",0.005,10000,0.05,0.00264032633505357,0.00253314027134564
"vasicek","Agresti_Coull",0.005,10000,0.1,0.00254029466329415,0.00231149847171206
"vasicek","Clopper_Pearson",0.005,10000,0.1,0.00257924090075744,0.00235870983635083
"vasicek","Wald",0.005,10000,0.1,0.00246370896519696,0.00224810859361671
"vasicek","Wilson",0.005,10000,0.1,0.00250420565312377,0.0022798171621937
"vasicek","Agresti_Coull",0.005,10000,0.2,0.00229014312082505,0.00183257790042044
"vasicek","Clopper_Pearson",0.005,10000,0.2,0.00230834683559772,0.00186508936789335
"vasicek","Wald",0.005,10000,0.2,0.00217105953673256,0.00175129115867185
"vasicek","Wilson",0.005,10000,0.2,0.00224440855410036,0.00179223895210732
"vasicek","Agresti_Coull",0.005,10000,0.25,0.00214999078168655,0.00161047218235236
"vasicek","Clopper_Pearson",0.005,10000,0.25,0.00215706033555706,0.00163304296759331
"vasicek","Wald",0.005,10000,0.25,0.00200355835589521,0.00151704251076819
"vasicek","Wilson",0.005,10000,0.25,0.00209981246048141,0.00156432272437832
"vasicek","Agresti_Coull",0.005,25000,0.01,0.00173760492140239,0.00171976473437169
"vasicek","Clopper_Pearson",0.005,25000,0.01,0.00176628388701446,0.00174858249252992
"vasicek","Wald",0.005,25000,0.01,0.00172405186125467,0.00170637889106157
"vasicek","Wilson",0.005,25000,0.01,0.0017307775923957,0.00171302012193946
"vasicek","Agresti_Coull",0.005,25000,0.05,0.00166196449606685,0.00159484344350425
"vasicek","Clopper_Pearson",0.005,25000,0.05,0.00168894088703986,0.00162273825430536
"vasicek","Wald",0.005,25000,0.05,0.00164634898041495,0.00158033948394991
"vasicek","Wilson",0.005,25000,0.05,0.00165412552228814,0.00158754816660889
"vasicek","Agresti_Coull",0.005,25000,0.1,0.00157097031385949,0.00144224636840884
"vasicek","Clopper_Pearson",0.005,25000,0.1,0.00159520488940271,0.00146879855384415
"vasicek","Wald",0.005,25000,0.1,0.00155183730230798,0.00142611647148467
"vasicek","Wilson",0.005,25000,0.1,0.00156153383008359,0.00143415025226876
"vasicek","Agresti_Coull",0.005,25000,0.2,0.00139830803039586,0.00111757321228479
"vasicek","Clopper_Pearson",0.005,25000,0.2,0.00141494624093386,0.00114004615325543
"vasicek","Wald",0.005,25000,0.2,0.00136663547276227,0.00109650367553273
"vasicek","Wilson",0.005,25000,0.2,0.00138486039999516,0.00110704766723525
"vasicek","Agresti_Coull",0.005,25000,0.25,0.00131542097335536,0.000977290243133048
"vasicek","Clopper_Pearson",0.005,25000,0.25,0.00132759717824431,0.000997149740679368
"vasicek","Wald",0.005,25000,0.25,0.00127446408320355,0.000953053595405963
"vasicek","Wilson",0.005,25000,0.25,0.00129993468592781,0.000965212782703455
"vasicek","Agresti_Coull",0.005,50000,0.01,0.00122693944267742,0.00121634882945457
"vasicek","Clopper_Pearson",0.005,50000,0.01,0.00124294068675785,0.00123240326847693
"vasicek","Wald",0.005,50000,0.01,0.00122215350541349,0.00121162684447326
"vasicek","Wilson",0.005,50000,0.01,0.00122452571216538,0.00121396699919884
"vasicek","Agresti_Coull",0.005,50000,0.05,0.00117716149710154,0.00113072324871053
"vasicek","Clopper_Pearson",0.005,50000,0.05,0.00119257027262953,0.00114646395184262
"vasicek","Wald",0.005,50000,0.05,0.00117165980492649,0.0011256215509689
"vasicek","Wilson",0.005,50000,0.05,0.00117439374132029,0.00112815381269071
"vasicek","Agresti_Coull",0.005,50000,0.1,0.00111831236272137,0.00102312470652839
"vasicek","Clopper_Pearson",0.005,50000,0.1,0.00113271805257818,0.00103839781042262
"vasicek","Wald",0.005,50000,0.1,0.00111157907415079,0.00101745739770449
"vasicek","Wilson",0.005,50000,0.1,0.00111495104341218,0.00102027560972127
"vasicek","Agresti_Coull",0.005,50000,0.2,0.000990565249918329,0.000790611131788834
"vasicek","Clopper_Pearson",0.005,50000,0.2,0.00100183138802253,0.000804442623471828
"vasicek","Wald",0.005,50000,0.2,0.000979182124815916,0.000783201215836925
"vasicek","Wilson",0.005,50000,0.2,0.000985464279933052,0.000786900067435177
"vasicek","Agresti_Coull",0.005,50000,0.25,0.000915200460450168,0.000673498437423515
"vasicek","Clopper_Pearson",0.005,50000,0.25,0.000924437073720135,0.000686226380906202
"vasicek","Wald",0.005,50000,0.25,0.000900137727080162,0.000664754694773279
"vasicek","Wilson",0.005,50000,0.25,0.000909085454172477,0.00066912833302403
"vasicek","Agresti_Coull",0.005,1e+05,0.01,0.000865679165568293,0.000858420816483752
"vasicek","Clopper_Pearson",0.005,1e+05,0.01,0.000874263645327556,0.000867024269746742
"vasicek","Wald",0.005,1e+05,0.01,0.000863985124398541,0.000856749557994703
"vasicek","Wilson",0.005,1e+05,0.01,0.000864824327843512,0.000857577390941895
"vasicek","Agresti_Coull",0.005,1e+05,0.05,0.000829550597611121,0.000797740567519583
"vasicek","Clopper_Pearson",0.005,1e+05,0.05,0.000837920559904682,0.000806232689542551
