"method","coverage","avg_width","median_width","lower_zero_rate","p","n","rho","rho_default","deff","n_eff","model"
"Agresti_Coull",0.9873,0.101592912581044,0.0968508857120387,0.9796,0.005,10000,0.25,0.0223131328647152,224.109015514287,44.6211410864125,"vasicek_eff_n"
"Clopper_Pearson",0.9855,0.087894420134985,0.0822759304617475,0.088,0.005,10000,0.25,0.0223131328647152,224.109015514287,44.6211410864125,"vasicek_eff_n"
"Wald",0.799,0.0200325883687669,0.0128552687954498,0.9973,0.005,10000,0.25,0.0223131328647152,224.109015514287,44.6211410864125,"vasicek_eff_n"
"Wilson",0.9591,0.0868124904284164,0.0819781363756873,0.088,0.005,10000,0.25,0.0223131328647152,224.109015514287,44.6211410864125,"vasicek_eff_n"
"Agresti_Coull",0.9809,0.150536630591744,0.142284933517714,0.9631,0.01,10000,0.25,0.0339119793120033,340.085881140721,29.4043374175307,"vasicek_eff_n"
"Clopper_Pearson",0.982,0.134580083324386,0.124664130073957,0.0689,0.01,10000,0.25,0.0339119793120033,340.085881140721,29.4043374175307,"vasicek_eff_n"
"Wald",0.8089,0.0379059429319279,0.0252476372583227,0.9945,0.01,10000,0.25,0.0339119793120033,340.085881140721,29.4043374175307,"vasicek_eff_n"
"Wilson",0.9542,0.130035882164139,0.121727078932185,0.0368,0.01,10000,0.25,0.0339119793120033,340.085881140721,29.4043374175307,"vasicek_eff_n"
"Agresti_Coull",0.9741,0.213522373413068,0.201442049677749,0.9366,0.02,10000,0.25,0.0497138016406722,498.088302605081,20.0767613848758,"vasicek_eff_n"
"Clopper_Pearson",0.9807,0.198780647042162,0.183981049836685,0.0282,0.02,10000,0.25,0.0497138016406722,498.088302605081,20.0767613848758,"vasicek_eff_n"
"Wald",0.8224,0.0693842286943985,0.0506371670097821,0.9911,0.02,10000,0.25,0.0497138016406722,498.088302605081,20.0767613848758,"vasicek_eff_n"
"Wilson",0.9525,0.187001629100471,0.175092800753043,0.0094,0.02,10000,0.25,0.0497138016406722,498.088302605081,20.0767613848758,"vasicek_eff_n"
"Agresti_Coull",0.961,0.310641792871919,0.295079859467227,0.8381,0.05,10000,0.25,0.0747323719217884,748.248986845962,13.3645353028171,"vasicek_eff_n"
"Clopper_Pearson",0.9786,0.307630133515895,0.287372730111677,0.0066,0.05,10000,0.25,0.0747323719217884,748.248986845962,13.3645353028171,"vasicek_eff_n"
"Wald",0.8297,0.146065043156907,0.118715658466681,0.9778,0.05,10000,0.25,0.0747323719217884,748.248986845962,13.3645353028171,"vasicek_eff_n"
"Wilson",0.9489,0.278374125423832,0.263275298257858,0,0.05,10000,0.25,0.0747323719217884,748.248986845962,13.3645353028171,"vasicek_eff_n"
